"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3291","login to application","chromium","2026-03-11","passed","2026-03-11","","allure-report.spec.js","",""
"","2986","navigate to cart & checkout","chromium","2026-03-11","failed","2026-03-11","","allure-report.spec.js","",""
